protocol,symbol,debt_repaid_usd,liquidation_events,share_pct,largest_event_usd,largest_event_tx
morpho,USDS,1823151.7943263394,304,1.66,343637.81138301425,0x7a30f5cce94322cdb02c0f46ffc449329d2eff202aa723e1fb911b52a71d61dc
morpho,PYUSD,1320050.3321257227,30,1.2,787839.1636369549,0x52ee9069032a075e6b2da263201af29dc05cf0b1a5eee77ee03c0c35326fb5d2
morpho,EURC,514978.20597146265,42,0.47,131868.86363983885,0x059b7c15059f12165a205bf75ae36b9897121dc3fbc780b277d41f9f0a121d45
morpho,DAI,224573.0705726346,92,0.2,176805.67626271283,0xbe9514a9e4456e04c3365155e815524cf2996429c6d84766a094e0c064ea75f7
morpho,cbBTC,152877.8114750515,3,0.14,152562.1051366929,0xab19567a0ae9ed10174f0b1ee2fc5a730dc73219886cfafa47071e2ea4eeb454
morpho,RLUSD,54030.46432732912,6,0.05,49948.93381755392,0x8e4cc9b4893a8cde7a013ed1dbe498744e2226f2d924a543cd3bc5cb7199cf5f
morpho,wNXM,28146.956234947305,14,0.03,3422.185697035956,0x0cd410354ec9cfa3369099e6e9b98cf43b88b31d8fd548ac09ddab6b4470e387
morpho,WBTC,9500.951069382902,11,0.01,7659.0630944985005,0x8ac7ea4fc92f751463a33b21aaa944653c9117c2adf17a6189e788dfe7201ab0
morpho,USDe,2551.377966870743,29,0,1331.4833317591028,0xf55fcfbca709aadd97def7135070c2890d15e7250ccb3f02a1deeb008858cbfa
morpho,USR,1156.066804839259,13,0,792.892906,0xa57f66b6b291905a525ad2c94fa7f261421d77f2aaa51937e72372ec2d0574bd
morpho,crvUSD,249.36794972176972,4,0,137.37343314559578,0x1c9376b7cc9a798d2fb8f2cc0f3bcdacf6e6a0e3f30c9603790bb09cae0834f7
morpho,LBTC,33.28649869539999,5,0,21.425536583399996,0x6d7e8397637daa0840133e5a8d269d3622331f578e20df2214fe6bd9294dbf2e
morpho,tBTC,11.252094091330392,4,0,6.7885745915172535,0xb09760bd23e03b4f3a4ea4fa704ac7aed0f2c82918cf11a3fcfd9017cfa3eb58
morpho,LINK,9.122013208885608,1,0,9.122013208885608,0x6c98e07c4e139ecbf51e5b14d7365b89ee187581fed3515ac00f21a22ef202cf
morpho,FRAX,8.954906649350368,4,0,2.379362882051212,0x9b6275dc7b06ee7b7de4dca49d1f44c66a36dbd376a9602a9e7e99868485a16e
morpho,scrvUSD,6.162001203498049,1,0,6.162001203498049,0xa4cd7d23592413a277c875b48a38dca9c2002cc0f6b44bbc73fa6642055dfdf4
morpho,sUSDS,5.263205922576368,3,0,2.9251853377709303,0x6f358e9255c542d23e4f9d1b6f2028a33f9a36c5fa2c3ff992ab43f8cb1323c8
morpho,USUAL,,16,,,
morpho,VUSD,,7,,,
morpho,USDf,,3,,,
morpho,USDQ,,1,,,
morpho,AUSD,,81,,,
morpho,GRAM,,3,,,
morpho,frxUSD,,15,,,
morpho,MUSD,,3,,,
morpho,rUSD,,12,,,
morpho,lvlUSD,,4,,,
morpho,JPYC,,1,,,
morpho,USDtb,,1,,,
morpho,USDCV,,9,,,
morpho,msETH,,32,,,
morpho,eUSD,,11,,,
morpho,USDR,,1,,,
morpho,ZCHF,,6,,,
morpho,USDU,,5,,,
morpho,apxUSD,,10,,,
morpho,USDA,,12,,,
morpho,EURCV,,28,,,
morpho,USD0,,6,,,
spark,DAI,3244462.306865355,312,48.68,1494431.0945800305,0x9c458f3cb99f1efe7e860337cb80423b91d01a5444b521e15e890d73f95196d2
spark,USDT,1638680.1609255644,113,24.59,462314.3513312731,0x62e6703cf27b602e34c617fd3fa79e08ed537773fbb05ae9c222a92000f00df8
spark,USDS,902213.8400730191,151,13.54,225256.50125441828,0xefac7eed496f58b02b2409964acab069283256af425c6704cc652260eb9abd14
spark,USDC,799930.2506122654,138,12,316326.1264292281,0xf65ad4fa3b0dbfb757de8e57590331b69a44cdeb95811e7abb28ab0c8d09fe3e
spark,PYUSD,75907.33018538373,22,1.14,32097.606190862556,0x4e6d3231d2b2afeeef50134904daf1a6098bded9dc48d85da382a02254706fe4
spark,cbBTC,2439.0023160404003,5,0.04,979.8102047803001,0x2fc42d8447b6434d38dc32e51f6d3a1cc5faea3122e60d95ebdafb1be745964b
spark,WETH,642.3040330168748,7,0.01,471.0774296038116,0x7c7a014e98d89f58825a05fe9b5402bf2a1f77c0ed447177eb9d20b15d3e9e90
spark,tBTC,1.475465336140837,1,0,1.475465336140837,0x07dbdb32c94839ab38c1523862e51a4465161c2dadc8430be27a7782a56cdf3d
