source_table,project,version,transaction_type,events,events_with_usd,usd_coverage_pct,volume_musd,first_event,last_event
lending.borrow,morpho,1,repay,76840,68036,88.540000000000000,-11733.5,2026-01-01 00:09:35.000 UTC,2026-08-31 23:53:23.000 UTC
lending.supply,morpho,1,deposit,632639,555537,87.810000000000000,146334.63,2026-01-01 00:03:35.000 UTC,2026-08-31 23:55:59.000 UTC
lending.supply,morpho,1,deposit_liquidation,2604,2337,89.750000000000000,-103381206741659.88,2026-01-01 01:35:11.000 UTC,2026-08-30 15:09:23.000 UTC
lending.supply,morpho,1,withdraw,585974,538131,91.840000000000000,-145606.14,2026-01-01 00:02:11.000 UTC,2026-08-31 23:59:35.000 UTC
lending.borrow,radiant,1,borrow,601,601,100.000000000000000,1.16,2026-01-01 09:22:11.000 UTC,2026-08-26 09:28:35.000 UTC
lending.borrow,radiant,1,repay,295,295,100.000000000000000,-3.11,2026-01-01 15:02:11.000 UTC,2026-08-30 10:55:35.000 UTC
lending.supply,radiant,1,deposit,767,767,100.000000000000000,1.88,2026-01-01 09:22:11.000 UTC,2026-08-31 19:26:47.000 UTC
lending.supply,radiant,1,withdraw,638,638,100.000000000000000,-4.51,2026-01-01 23:46:35.000 UTC,2026-08-31 20:16:35.000 UTC
lending.borrow,spark,1,borrow,15588,15588,100.000000000000000,14759.17,2026-01-01 00:37:59.000 UTC,2026-08-31 23:38:35.000 UTC
lending.borrow,spark,1,borrow_liquidation,749,749,100.000000000000000,-6.66,2026-01-15 12:25:59.000 UTC,2026-08-31 10:57:47.000 UTC
lending.borrow,spark,1,repay,13574,13574,100.000000000000000,-14115.22,2026-01-01 02:22:47.000 UTC,2026-08-31 23:32:59.000 UTC
lending.supply,spark,1,deposit,28789,28789,100.000000000000000,44007.56,2026-01-01 00:08:47.000 UTC,2026-08-31 23:37:35.000 UTC
lending.supply,spark,1,deposit_liquidation,749,749,100.000000000000000,-7.07,2026-01-15 12:25:59.000 UTC,2026-08-31 10:57:47.000 UTC
lending.supply,spark,1,repay_with_atokens,20,20,100.000000000000000,-0.3,2026-02-01 10:27:35.000 UTC,2026-07-29 05:09:59.000 UTC
lending.supply,spark,1,withdraw,25969,25969,100.000000000000000,-42026.73,2026-01-01 00:48:35.000 UTC,2026-08-31 23:33:59.000 UTC
lending.borrow,strike,1,borrow,1,1,100.000000000000000,0,2026-04-21 22:25:35.000 UTC,2026-04-21 22:25:35.000 UTC
lending.borrow,strike,1,repay,7,7,100.000000000000000,-0,2026-04-19 23:13:47.000 UTC,2026-05-12 00:23:59.000 UTC
lending.supply,strike,1,withdraw,2,2,100.000000000000000,-0,2026-04-24 09:19:35.000 UTC,2026-06-07 04:17:35.000 UTC
lending.borrow,uwulend,1,borrow,114,93,81.580000000000000,0,2026-01-01 15:47:35.000 UTC,2026-08-16 09:32:23.000 UTC
lending.borrow,uwulend,1,borrow_liquidation,133,79,59.400000000000000,-0.01,2026-01-01 16:47:11.000 UTC,2026-08-31 15:40:59.000 UTC
lending.borrow,uwulend,1,repay,51,28,54.900000000000000,-0,2026-01-02 03:26:23.000 UTC,2026-08-19 04:58:47.000 UTC
lending.supply,uwulend,1,deposit,157,146,92.990000000000000,0.01,2026-01-01 15:47:35.000 UTC,2026-08-17 06:31:59.000 UTC
lending.supply,uwulend,1,deposit_liquidation,133,102,76.690000000000000,-0.02,2026-01-01 16:47:11.000 UTC,2026-08-31 15:40:59.000 UTC
lending.supply,uwulend,1,withdraw,160,112,70.000000000000000,-0.18,2026-01-01 16:03:23.000 UTC,2026-08-29 22:59:35.000 UTC
