protocol,side,symbol,symbol_grouped,volume_usd,events,share_pct,rank_in_protocol
morpho,Borrow,RLUSD,RLUSD,669685185.7576243,1769,5.32,5
morpho,Borrow,USDS,Other,164188011.59828782,1956,1.3,6
morpho,Borrow,WBTC,Other,69224364.12249334,525,0.55,7
morpho,Borrow,EURC,Other,52126968.66395208,1378,0.41,8
morpho,Borrow,LINK,Other,5745690.915978621,414,0.05,9
morpho,Borrow,LBTC,Other,1625855.0687591278,23,0.01,10
morpho,Borrow,DAI,Other,699693.9239250636,44,0.01,11
morpho,Borrow,USR,Other,617714.1957044351,66,0,12
morpho,Borrow,cbBTC,Other,408803.7865866134,31,0,13
morpho,Borrow,wNXM,Other,31920.657418011146,6,0,14
morpho,Borrow,XAUt,Other,9275.20728524,6,0,15
morpho,Borrow,scrvUSD,Other,1064.4484418741915,30,0,16
morpho,Borrow,USDe,Other,1036.0602542756283,6,0,17
morpho,Borrow,wstETH,Other,27.14226485031024,5,0,18
morpho,Borrow,crvUSD,Other,4.994712161030817,6,0,19
morpho,Borrow,USDG,Other,2.73067522,3,0,20
morpho,Borrow,FRAX,Other,0.2483019828,1,0,21
morpho,Borrow,sUSDS,Other,0.2103679339592944,1,0,22
morpho,Deposit,USDC,USDC,104445181132.55055,372972,71.37,1
morpho,Deposit,USDT,USDT,23033419668.084576,99593,15.74,2
morpho,Deposit,WETH,WETH,11019151934.166195,44850,7.53,3
morpho,Deposit,PYUSD,PYUSD,4483605689.2284,10950,3.06,4
morpho,Deposit,RLUSD,RLUSD,1890068014.4768443,3991,1.29,5
morpho,Deposit,EURC,Other,666636171.2107649,8375,0.46,6
morpho,Deposit,WBTC,Other,348437841.31187296,3967,0.24,7
morpho,Deposit,USDS,Other,186884266.26564595,2431,0.13,8
morpho,Deposit,cbBTC,Other,125599705.82080989,503,0.09,9
morpho,Deposit,DAI,Other,64010364.49232252,3234,0.04,10
morpho,Deposit,wstETH,Other,56414944.16661421,3380,0.04,11
morpho,Deposit,LINK,Other,13197767.91760955,1084,0.01,12
morpho,Deposit,LBTC,Other,1143194.582072381,12,0,13
morpho,Deposit,USR,Other,471050.5776221682,85,0,14
morpho,Deposit,wNXM,Other,181707.15400000734,4,0,15
morpho,Deposit,USDe,Other,101609.75575754038,16,0,16
morpho,Deposit,USDG,Other,99983.42642513254,12,0,17
morpho,Deposit,XAUt,Other,19806.74958269,11,0,18
morpho,Deposit,scrvUSD,Other,1734.377554750562,55,0,19
morpho,Deposit,FRAX,Other,938.4267798804841,8,0,20
morpho,Deposit,sUSDS,Other,29.738843704498027,2,0,21
morpho,Deposit,crvUSD,Other,5.108312242862565,7,0,22
morpho,Deposit,RPL,Other,1.52e-15,1,0,23
