protocol,liquidations,liquidated_debt_usd,borrow_volume_usd,intensity_pct,largest_event_usd
Compound,1494,70251200.3277781,1108227151.9644248,6.34,27735020.25500726
Aave,15502,657856806.7105229,57173271928.74515,1.15,22594662.27502262
Morpho,2604,109878276.59174158,12582472063.280113,0.87,13008137.064882895
Spark,749,6664276.670475983,14759172844.01197,0.05,1494431.0945800305
