protocol,deposit_usd,withdraw_usd,borrow_usd,repay_usd,debt_liquidated_usd,borrow_events,unique_depositors,unique_borrowers,borrow_share_pct,usd_coverage_pct
aave,200893913966.54855,212438021733.3501,57173271928.74513,62094902854.20975,657856806.7105229,235154,65175,36157,66.8,98.340000000000000
spark,44007557656.85622,42026725088.16112,14759172844.011969,14115215715.486443,6664276.670475981,15588,1767,1409,17.2,100.000000000000000
morpho,146334627559.58975,145606137324.03784,12582472063.280113,11733500445.302671,109878276.59174158,100941,1143,2276,14.7,89.730000000000000
compound,4030347507.7668486,4144950651.281532,1108227151.9644246,1198600538.7096105,70251200.32777812,10318,2805,1243,1.3,99.840000000000000
